kind,source,feature,outcome,n,spearman_r,p_raw,mean_feature_delta,mean_outcome_delta,p_fdr_outcome,sig_raw_0.05,sig_fdr_outcome
paired_non_minus_full,sum,saliency_skewness,delta_et_mean_fix_dur,16,-0.17941176470588235,0.5061395399904387,0.8093383374045686,0.07918801908214973,0.8177951417349659,False,False
paired_non_minus_full,sum,saliency_skewness,delta_et_mean_saccade_mag,16,0.8117647058823528,0.00013432237477471035,0.8093383374045686,-2.1825431256641146,0.0020819968090080103,True,True
paired_non_minus_full,sum,saliency_kurtosis,delta_rt_median,16,-0.17058823529411765,0.5276097688612683,8.903152880801935,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,sum,saliency_kurtosis,delta_accuracy,16,0.3133033812950774,0.23736463211606645,8.903152880801935,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,sum,saliency_kurtosis,delta_response_rate,16,-0.0708447269178752,0.7943093997823882,8.903152880801935,-0.08173076923076925,0.9683916249720633,False,False
paired_non_minus_full,sum,saliency_kurtosis,delta_et_n_fixations,16,0.4519985294479899,0.07879809344496638,8.903152880801935,-5.90625,0.4564694502208965,False,False
paired_non_minus_full,sum,saliency_kurtosis,delta_et_mean_fix_dur,16,-0.2676470588235294,0.31625441854830927,8.903152880801935,0.07918801908214973,0.6453275941026162,False,False
paired_non_minus_full,sum,saliency_kurtosis,delta_et_mean_saccade_mag,16,0.7588235294117647,0.0006540302361647908,8.903152880801935,-2.1825431256641146,0.006758312440369505,True,True
paired_non_minus_full,visalformer,saliency_mean,delta_rt_median,16,0.09117647058823529,0.7370049501736591,0.052027754657308675,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,visalformer,saliency_mean,delta_accuracy,16,-0.22421237239600322,0.40382715831575317,0.052027754657308675,-0.08653846153846154,0.8345761271858899,False,False
paired_non_minus_full,visalformer,saliency_mean,delta_response_rate,16,-0.3188012711304384,0.22878974497421714,0.052027754657308675,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,visalformer,saliency_mean,delta_et_n_fixations,16,-0.3249662630018228,0.21941037256878282,0.052027754657308675,-5.90625,0.5668101291360222,False,False
paired_non_minus_full,visalformer,saliency_mean,delta_et_mean_fix_dur,16,0.55,0.027293972709730583,0.052027754657308675,0.07918801908214973,0.42305657700082405,True,False
paired_non_minus_full,visalformer,saliency_mean,delta_et_mean_saccade_mag,16,-0.22941176470588234,0.39272049088162,0.052027754657308675,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,visalformer,saliency_std,delta_rt_median,16,0.0411764705882353,0.8796536149318311,0.01862437769151145,2.87464056875812,0.9741279946623942,False,False
paired_non_minus_full,visalformer,saliency_std,delta_accuracy,16,-0.23906087387918226,0.37255112978795246,0.01862437769151145,-0.08653846153846154,0.8249346445304662,False,False
paired_non_minus_full,visalformer,saliency_std,delta_response_rate,16,-0.24025603041714202,0.3700933404889977,0.01862437769151145,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,visalformer,saliency_std,delta_et_n_fixations,16,0.115215311427919,0.6709117050763302,0.01862437769151145,-5.90625,0.7999331868217783,False,False
paired_non_minus_full,visalformer,saliency_std,delta_et_mean_fix_dur,16,0.19411764705882353,0.47128972836210753,0.01862437769151145,0.07918801908214973,0.8177951417349659,False,False
paired_non_minus_full,visalformer,saliency_std,delta_et_mean_saccade_mag,16,-0.1647058823529412,0.542148135201078,0.01862437769151145,-2.1825431256641146,0.7002746746347257,False,False
paired_non_minus_full,visalformer,saliency_entropy,delta_rt_median,16,0.22352941176470587,0.40529834728275926,0.10330853415060326,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,visalformer,saliency_entropy,delta_accuracy,16,-0.14700016468347232,0.5869442767625064,0.10330853415060326,-0.08653846153846154,0.9526467211970105,False,False
paired_non_minus_full,visalformer,saliency_entropy,delta_response_rate,16,-0.28183880491241653,0.29026658834897323,0.10330853415060326,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,visalformer,saliency_entropy,delta_et_n_fixations,16,-0.583462154026,0.0176633331139308,0.10330853415060326,-5.90625,0.2737816632659274,True,False
